,year,station_id,month,day,date,delta_stage_max,index,delta_test
487,2003,3035,5,122,2003-05-02,,3035,-4.6209564
488,2003,3035,5,123,2003-05-03,,3035,8.374588
489,2003,3035,5,124,2003-05-04,,3035,-6.0789948
490,2005,3035,4,118,2005-04-28,,3035,342.19305
491,2005,3035,4,119,2005-04-29,,3035,-206.40527
492,2005,3035,4,120,2005-04-30,,3035,-42.876984
493,2005,3035,5,121,2005-05-01,,3035,-45.607544
494,2005,3035,5,122,2005-05-02,,3035,-28.658005
495,2005,3035,5,123,2005-05-03,,3035,24.693817
496,2005,3035,5,124,2005-05-04,,3035,-58.699524
497,2013,3035,4,118,2013-04-28,,3035,273.1129
498,2013,3035,4,119,2013-04-29,,3035,-217.98257
499,2013,3035,4,120,2013-04-30,,3035,-48.230194
500,2013,3035,5,121,2013-05-01,,3035,-38.570374
501,2013,3035,5,122,2013-05-02,,3035,-9.208359
502,2013,3035,5,123,2013-05-03,,3035,9.860092
503,2013,3035,5,124,2013-05-04,,3035,18.4935
504,1989,3041,4,118,1989-04-28,,3041,-108.83966
505,1989,3041,4,119,1989-04-29,,3041,42.490845
506,1989,3041,4,120,1989-04-30,,3041,37.19536
507,1989,3041,5,121,1989-05-01,,3041,34.20723
508,1989,3041,5,122,1989-05-02,,3041,29.355133
509,1989,3041,5,123,1989-05-03,,3041,8.988037
510,1989,3041,5,124,1989-05-04,,3041,-7.1580505
511,2003,3041,4,118,2003-04-28,,3041,81.24577
512,2003,3041,4,119,2003-04-29,,3041,11.496979
513,2003,3041,4,120,2003-04-30,,3041,-14.19162
514,2003,3041,5,121,2003-05-01,,3041,11.083603
515,2003,3041,5,122,2003-05-02,,3041,-36.262848
516,2003,3041,5,123,2003-05-03,,3041,12.475571
517,2003,3041,5,124,2003-05-04,,3041,-7.6849365
518,2005,3041,4,118,2005-04-28,,3041,229.92099
519,2005,3041,4,119,2005-04-29,,3041,-108.384
520,2005,3041,4,120,2005-04-30,,3041,2.9151611
521,2005,3041,5,121,2005-05-01,,3041,1.725708
522,2005,3041,5,122,2005-05-02,,3041,-3.0696716
523,2005,3041,5,123,2005-05-03,,3041,-15.815033
524,2005,3041,5,124,2005-05-04,,3041,-52.304733
525,2013,3041,4,118,2013-04-28,,3041,264.4385
526,2013,3041,4,119,2013-04-29,,3041,-109.13159
527,2013,3041,4,120,2013-04-30,,3041,-14.419128
528,2013,3041,5,121,2013-05-01,,3041,-1.9698486
529,2013,3041,5,122,2013-05-02,,3041,-3.3882446
530,2013,3041,5,123,2013-05-03,,3041,2.2288818
531,2013,3041,5,124,2013-05-04,,3041,28.28244
532,1989,3045,4,118,1989-04-28,,3045,-143.37164
533,1989,3045,4,119,1989-04-29,,3045,178.76234
534,1989,3045,4,120,1989-04-30,,3045,41.73552
535,1989,3045,5,121,1989-05-01,,3045,31.625065
536,1989,3045,5,122,1989-05-02,,3045,40.514812
537,1989,3045,5,123,1989-05-03,,3045,-131.34026
538,1989,3045,5,124,1989-05-04,,3045,88.67047
539,2003,3045,4,118,2003-04-28,,3045,-31.891525
540,2003,3045,4,119,2003-04-29,,3045,30.13295
541,2003,3045,4,120,2003-04-30,,3045,26.74794
542,2003,3045,5,121,2003-05-01,,3045,-4.9277954
543,2003,3045,5,122,2003-05-02,,3045,52.33316
544,2003,3045,5,123,2003-05-03,,3045,43.090633
545,2003,3045,5,124,2003-05-04,,3045,-10.142002
546,2005,3045,4,118,2005-04-28,,3045,110.76341
547,2005,3045,4,119,2005-04-29,,3045,31.102146
548,2005,3045,4,120,2005-04-30,,3045,12.112076
549,2005,3045,5,121,2005-05-01,,3045,15.531982
550,2005,3045,5,122,2005-05-02,,3045,-9.617874
551,2005,3045,5,123,2005-05-03,,3045,-35.912605
552,2005,3045,5,124,2005-05-04,,3045,-8.592228
553,2013,3045,4,118,2013-04-28,,3045,53.017265
554,2013,3045,4,119,2013-04-29,,3045,21.655174
555,2013,3045,4,120,2013-04-30,,3045,44.02373
556,2013,3045,5,121,2013-05-01,,3045,27.910484
557,2013,3045,5,122,2013-05-02,,3045,17.867165
558,2013,3045,5,123,2013-05-03,,3045,39.271374
559,2013,3045,5,124,2013-05-04,,3045,-7.601654
560,1989,3050,4,118,1989-04-28,,3050,-98.95729
561,1989,3050,4,119,1989-04-29,,3050,54.788498
562,1989,3050,4,120,1989-04-30,,3050,32.90796
563,1989,3050,5,121,1989-05-01,,3050,24.048279
564,1989,3050,5,122,1989-05-02,,3050,3.8631897
565,1989,3050,5,123,1989-05-03,,3050,54.07306
566,1989,3050,5,124,1989-05-04,,3050,-7.0999756
567,2003,3050,4,118,2003-04-28,,3050,163.46326
568,2003,3050,4,119,2003-04-29,,3050,-130.01453
569,2003,3050,4,120,2003-04-30,,3050,-62.343506
570,2003,3050,5,121,2003-05-01,,3050,12.140961
571,2003,3050,5,122,2003-05-02,,3050,-11.412247
572,2003,3050,5,123,2003-05-03,,3050,33.12738
573,2003,3050,5,124,2003-05-04,,3050,-17.010803
574,2005,3050,4,118,2005-04-28,,3050,278.3462
575,2005,3050,4,119,2005-04-29,,3050,-208.8851
576,2005,3050,4,120,2005-04-30,,3050,-38.41507
577,2005,3050,5,121,2005-05-01,,3050,-9.707062
578,2005,3050,5,122,2005-05-02,,3050,7.944214
579,2005,3050,5,123,2005-05-03,,3050,-24.396942
580,2005,3050,5,124,2005-05-04,,3050,4.829956
581,2013,3050,4,118,2013-04-28,,3050,282.06
582,2013,3050,4,119,2013-04-29,,3050,-103.000916
583,2013,3050,4,120,2013-04-30,,3050,-32.847046
584,2013,3050,5,121,2013-05-01,,3050,-48.796143
585,2013,3050,5,122,2013-05-02,,3050,-34.887665
586,2013,3050,5,123,2013-05-03,,3050,-11.515533
587,2013,3050,5,124,2013-05-04,,3050,23.248322
588,1989,3230,4,118,1989-04-28,,3230,110.335815
589,1989,3230,4,119,1989-04-29,,3230,-87.36435
590,1989,3230,4,120,1989-04-30,,3230,20.48291
591,1989,3230,5,121,1989-05-01,,3230,24.367126
592,1989,3230,5,122,1989-05-02,,3230,36.39514
593,1989,3230,5,123,1989-05-03,,3230,-85.38257
594,1989,3230,5,124,1989-05-04,,3230,44.320435
595,2003,3230,4,118,2003-04-28,,3230,70.61194
596,2003,3230,4,119,2003-04-29,,3230,-66.19148
597,2003,3230,4,120,2003-04-30,,3230,13.552307
598,2003,3230,5,121,2003-05-01,,3230,12.7155
599,2003,3230,5,122,2003-05-02,,3230,28.898743
600,2003,3230,5,123,2003-05-03,,3230,43.589905
601,2003,3230,5,124,2003-05-04,,3230,-6.7880554
602,2005,3230,4,118,2005-04-28,,3230,210.85843
603,2005,3230,4,119,2005-04-29,,3230,-146.20062
604,2005,3230,4,120,2005-04-30,,3230,3.1195984
605,2005,3230,5,121,2005-05-01,,3230,-6.3583374
606,2005,3230,5,122,2005-05-02,,3230,9.575867
607,2005,3230,5,123,2005-05-03,,3230,31.606476
608,2005,3230,5,124,2005-05-04,,3230,-24.246521
609,2013,3230,4,118,2013-04-28,,3230,257.53995
610,2013,3230,4,119,2013-04-29,,3230,-111.78473
611,2013,3230,4,120,2013-04-30,,3230,2.9656372
612,2013,3230,5,121,2013-05-01,,3230,24.498291
613,2013,3230,5,122,2013-05-02,,3230,20.866028
614,2013,3230,5,123,2013-05-03,,3230,32.25363
615,2013,3230,5,124,2013-05-04,,3230,14.418854
616,1993,3019,5,125,1993-05-05,,3019,
617,1993,3019,5,126,1993-05-06,,3019,
618,1993,3019,5,127,1993-05-07,,3019,
619,1993,3019,5,128,1993-05-08,,3019,
620,1993,3019,5,129,1993-05-09,,3019,
621,1993,3019,5,130,1993-05-10,,3019,
622,1993,3019,5,131,1993-05-11,,3019,
623,1997,3019,5,125,1997-05-05,,3019,
624,1997,3019,5,126,1997-05-06,,3019,
625,1997,3019,5,127,1997-05-07,,3019,
626,1997,3019,5,128,1997-05-08,,3019,
627,1997,3019,5,129,1997-05-09,,3019,
628,1997,3019,5,130,1997-05-10,,3019,
629,1997,3019,5,131,1997-05-11,,3019,
630,2001,3019,5,125,2001-05-05,,3019,
631,2001,3019,5,126,2001-05-06,,3019,
632,2001,3019,5,127,2001-05-07,,3019,
633,2001,3019,5,128,2001-05-08,,3019,
634,2001,3019,5,129,2001-05-09,,3019,
635,2001,3019,5,130,2001-05-10,,3019,
636,2001,3019,5,131,2001-05-11,,3019,
637,2012,3019,5,126,2012-05-05,,3019,
638,2012,3019,5,127,2012-05-06,,3019,
639,2012,3019,5,128,2012-05-07,,3019,
640,2012,3019,5,129,2012-05-08,,3019,
641,2012,3019,5,130,2012-05-09,,3019,
642,2012,3019,5,131,2012-05-10,,3019,
643,2012,3019,5,132,2012-05-11,,3019,
644,1993,3027,5,125,1993-05-05,,3027,
645,1993,3027,5,126,1993-05-06,,3027,
646,1993,3027,5,127,1993-05-07,,3027,
647,1993,3027,5,128,1993-05-08,,3027,
648,1993,3027,5,129,1993-05-09,,3027,
649,1993,3027,5,130,1993-05-10,,3027,
650,1993,3027,5,131,1993-05-11,,3027,
651,1997,3027,5,125,1997-05-05,,3027,
652,1997,3027,5,126,1997-05-06,,3027,
653,1997,3027,5,127,1997-05-07,,3027,
654,1997,3027,5,128,1997-05-08,,3027,
655,1997,3027,5,129,1997-05-09,,3027,
656,1997,3027,5,130,1997-05-10,,3027,
657,1997,3027,5,131,1997-05-11,,3027,
658,2001,3027,5,125,2001-05-05,,3027,
659,2001,3027,5,126,2001-05-06,,3027,
660,2001,3027,5,127,2001-05-07,,3027,
661,2001,3027,5,128,2001-05-08,,3027,
662,2001,3027,5,129,2001-05-09,,3027,
663,2001,3027,5,130,2001-05-10,,3027,
664,2001,3027,5,131,2001-05-11,,3027,
665,2004,3027,5,126,2004-05-05,,3027,
666,2004,3027,5,127,2004-05-06,,3027,
667,2004,3027,5,128,2004-05-07,,3027,
668,2004,3027,5,129,2004-05-08,,3027,
669,2004,3027,5,130,2004-05-09,,3027,
670,2004,3027,5,131,2004-05-10,,3027,
671,2004,3027,5,132,2004-05-11,,3027,
672,2012,3027,5,126,2012-05-05,,3027,
673,2012,3027,5,127,2012-05-06,,3027,
674,2012,3027,5,128,2012-05-07,,3027,
675,2012,3027,5,129,2012-05-08,,3027,
676,2012,3027,5,130,2012-05-09,,3027,
677,2012,3027,5,131,2012-05-10,,3027,
678,2012,3027,5,132,2012-05-11,,3027,
679,1993,3028,5,125,1993-05-05,,3028,
680,1993,3028,5,126,1993-05-06,,3028,
681,1993,3028,5,127,1993-05-07,,3028,
682,1993,3028,5,128,1993-05-08,,3028,
683,1993,3028,5,129,1993-05-09,,3028,
684,1993,3028,5,130,1993-05-10,,3028,
685,1993,3028,5,131,1993-05-11,,3028,
686,1997,3028,5,125,1997-05-05,,3028,
687,1997,3028,5,126,1997-05-06,,3028,
688,1997,3028,5,127,1997-05-07,,3028,
689,1997,3028,5,128,1997-05-08,,3028,
690,1997,3028,5,129,1997-05-09,,3028,
691,1997,3028,5,130,1997-05-10,,3028,
692,1997,3028,5,131,1997-05-11,,3028,
693,2001,3028,5,125,2001-05-05,,3028,
694,2001,3028,5,126,2001-05-06,,3028,
695,2001,3028,5,127,2001-05-07,,3028,
696,2001,3028,5,128,2001-05-08,,3028,
697,2001,3028,5,129,2001-05-09,,3028,
698,2001,3028,5,130,2001-05-10,,3028,
699,2001,3028,5,131,2001-05-11,,3028,
700,2004,3028,5,126,2004-05-05,,3028,
701,2004,3028,5,127,2004-05-06,,3028,
702,2004,3028,5,128,2004-05-07,,3028,
703,2004,3028,5,129,2004-05-08,,3028,
704,2004,3028,5,130,2004-05-09,,3028,
705,2004,3028,5,131,2004-05-10,,3028,
706,2004,3028,5,132,2004-05-11,,3028,
707,2012,3028,5,126,2012-05-05,,3028,
708,2012,3028,5,127,2012-05-06,,3028,
709,2012,3028,5,128,2012-05-07,,3028,
710,2012,3028,5,129,2012-05-08,,3028,
711,2012,3028,5,130,2012-05-09,,3028,
712,2012,3028,5,131,2012-05-10,,3028,
713,2012,3028,5,132,2012-05-11,,3028,
714,1993,3029,5,125,1993-05-05,,3029,
715,1993,3029,5,126,1993-05-06,,3029,
716,1993,3029,5,127,1993-05-07,,3029,
717,1993,3029,5,128,1993-05-08,,3029,
718,1993,3029,5,129,1993-05-09,,3029,
719,1993,3029,5,130,1993-05-10,,3029,
720,1993,3029,5,131,1993-05-11,,3029,
721,1997,3029,5,125,1997-05-05,,3029,
722,1997,3029,5,126,1997-05-06,,3029,
723,1997,3029,5,127,1997-05-07,,3029,
724,1997,3029,5,128,1997-05-08,,3029,
725,1997,3029,5,129,1997-05-09,,3029,
726,1997,3029,5,130,1997-05-10,,3029,
727,1997,3029,5,131,1997-05-11,,3029,
728,2001,3029,5,125,2001-05-05,,3029,
729,2001,3029,5,126,2001-05-06,,3029,
730,2001,3029,5,127,2001-05-07,,3029,
731,2001,3029,5,128,2001-05-08,,3029,
732,2001,3029,5,129,2001-05-09,,3029,
733,2001,3029,5,130,2001-05-10,,3029,
734,2001,3029,5,131,2001-05-11,,3029,
735,2004,3029,5,126,2004-05-05,,3029,
736,2004,3029,5,127,2004-05-06,,3029,
737,2004,3029,5,128,2004-05-07,,3029,
738,2004,3029,5,129,2004-05-08,,3029,
739,2004,3029,5,130,2004-05-09,,3029,
740,2004,3029,5,131,2004-05-10,,3029,
741,2004,3029,5,132,2004-05-11,,3029,
742,2012,3029,5,126,2012-05-05,,3029,
743,2012,3029,5,127,2012-05-06,,3029,
744,2012,3029,5,128,2012-05-07,,3029,
745,2012,3029,5,129,2012-05-08,,3029,
746,2012,3029,5,130,2012-05-09,,3029,
747,2012,3029,5,131,2012-05-10,,3029,
748,2012,3029,5,132,2012-05-11,,3029,
749,1993,3030,5,125,1993-05-05,,3030,
750,1993,3030,5,126,1993-05-06,,3030,
751,1993,3030,5,127,1993-05-07,,3030,
752,1993,3030,5,128,1993-05-08,,3030,
753,1993,3030,5,129,1993-05-09,,3030,
754,1993,3030,5,130,1993-05-10,,3030,
755,1993,3030,5,131,1993-05-11,,3030,
756,1997,3030,5,125,1997-05-05,,3030,
757,1997,3030,5,126,1997-05-06,,3030,
758,1997,3030,5,127,1997-05-07,,3030,
759,1997,3030,5,128,1997-05-08,,3030,
760,1997,3030,5,129,1997-05-09,,3030,
761,1997,3030,5,130,1997-05-10,,3030,
762,1997,3030,5,131,1997-05-11,,3030,
763,2001,3030,5,125,2001-05-05,,3030,
764,2001,3030,5,126,2001-05-06,,3030,
765,2001,3030,5,127,2001-05-07,,3030,
766,2001,3030,5,128,2001-05-08,,3030,
767,2001,3030,5,129,2001-05-09,,3030,
768,2001,3030,5,130,2001-05-10,,3030,
769,2001,3030,5,131,2001-05-11,,3030,
770,2004,3030,5,126,2004-05-05,,3030,
771,2004,3030,5,127,2004-05-06,,3030,
772,2004,3030,5,128,2004-05-07,,3030,
773,2004,3030,5,129,2004-05-08,,3030,
774,2004,3030,5,130,2004-05-09,,3030,
775,2004,3030,5,131,2004-05-10,,3030,
776,2004,3030,5,132,2004-05-11,,3030,
777,2012,3030,5,126,2012-05-05,,3030,
778,2012,3030,5,127,2012-05-06,,3030,
779,2012,3030,5,128,2012-05-07,,3030,
780,2012,3030,5,129,2012-05-08,,3030,
781,2012,3030,5,130,2012-05-09,,3030,
782,2012,3030,5,131,2012-05-10,,3030,
783,2012,3030,5,132,2012-05-11,,3030,
784,1993,3035,5,125,1993-05-05,,3035,
785,1993,3035,5,126,1993-05-06,,3035,
786,1993,3035,5,127,1993-05-07,,3035,
787,1993,3035,5,128,1993-05-08,,3035,
788,1993,3035,5,129,1993-05-09,,3035,
789,1993,3035,5,130,1993-05-10,,3035,
790,1993,3035,5,131,1993-05-11,,3035,
791,1997,3035,5,125,1997-05-05,,3035,
792,1997,3035,5,126,1997-05-06,,3035,
793,1997,3035,5,127,1997-05-07,,3035,
794,1997,3035,5,128,1997-05-08,,3035,
795,1997,3035,5,129,1997-05-09,,3035,
796,1997,3035,5,130,1997-05-10,,3035,
797,1997,3035,5,131,1997-05-11,,3035,
798,2001,3035,5,125,2001-05-05,,3035,
799,2001,3035,5,126,2001-05-06,,3035,
800,2001,3035,5,127,2001-05-07,,3035,
801,2001,3035,5,128,2001-05-08,,3035,
802,2001,3035,5,129,2001-05-09,,3035,
803,2001,3035,5,130,2001-05-10,,3035,
804,2001,3035,5,131,2001-05-11,,3035,
805,2004,3035,5,126,2004-05-05,,3035,
806,2004,3035,5,127,2004-05-06,,3035,
807,2004,3035,5,128,2004-05-07,,3035,
808,2004,3035,5,129,2004-05-08,,3035,
809,2004,3035,5,130,2004-05-09,,3035,
810,2004,3035,5,131,2004-05-10,,3035,
811,2004,3035,5,132,2004-05-11,,3035,
812,2012,3035,5,126,2012-05-05,,3035,
813,2012,3035,5,127,2012-05-06,,3035,
814,2012,3035,5,128,2012-05-07,,3035,
815,2012,3035,5,129,2012-05-08,,3035,
816,2012,3035,5,130,2012-05-09,,3035,
817,2012,3035,5,131,2012-05-10,,3035,
818,2012,3035,5,132,2012-05-11,,3035,
819,1993,3041,5,125,1993-05-05,,3041,
820,1993,3041,5,126,1993-05-06,,3041,
821,1993,3041,5,127,1993-05-07,,3041,
822,1993,3041,5,128,1993-05-08,,3041,
823,1993,3041,5,129,1993-05-09,,3041,
824,1993,3041,5,130,1993-05-10,,3041,
825,1993,3041,5,131,1993-05-11,,3041,
826,1997,3041,5,125,1997-05-05,,3041,
827,1997,3041,5,126,1997-05-06,,3041,
828,1997,3041,5,127,1997-05-07,,3041,
829,1997,3041,5,128,1997-05-08,,3041,
830,1997,3041,5,129,1997-05-09,,3041,
831,1997,3041,5,130,1997-05-10,,3041,
832,1997,3041,5,131,1997-05-11,,3041,
833,2001,3041,5,125,2001-05-05,,3041,
834,2001,3041,5,126,2001-05-06,,3041,
835,2001,3041,5,127,2001-05-07,,3041,
836,2001,3041,5,128,2001-05-08,,3041,
837,2001,3041,5,129,2001-05-09,,3041,
838,2001,3041,5,130,2001-05-10,,3041,
839,2001,3041,5,131,2001-05-11,,3041,
840,2004,3041,5,126,2004-05-05,,3041,
841,2004,3041,5,127,2004-05-06,,3041,
842,2004,3041,5,128,2004-05-07,,3041,
843,2004,3041,5,129,2004-05-08,,3041,
844,2004,3041,5,130,2004-05-09,,3041,
845,2004,3041,5,131,2004-05-10,,3041,
846,2004,3041,5,132,2004-05-11,,3041,
847,2012,3041,5,126,2012-05-05,,3041,
848,2012,3041,5,127,2012-05-06,,3041,
849,2012,3041,5,128,2012-05-07,,3041,
850,2012,3041,5,129,2012-05-08,,3041,
851,2012,3041,5,130,2012-05-09,,3041,
852,2012,3041,5,131,2012-05-10,,3041,
853,2012,3041,5,132,2012-05-11,,3041,
854,1993,3045,5,125,1993-05-05,,3045,
855,1993,3045,5,126,1993-05-06,,3045,
856,1993,3045,5,127,1993-05-07,,3045,
857,1993,3045,5,128,1993-05-08,,3045,
858,1993,3045,5,129,1993-05-09,,3045,
859,1993,3045,5,130,1993-05-10,,3045,
860,1993,3045,5,131,1993-05-11,,3045,
861,1997,3045,5,125,1997-05-05,,3045,
862,1997,3045,5,126,1997-05-06,,3045,
863,1997,3045,5,127,1997-05-07,,3045,
864,1997,3045,5,128,1997-05-08,,3045,
865,1997,3045,5,129,1997-05-09,,3045,
866,1997,3045,5,130,1997-05-10,,3045,
867,1997,3045,5,131,1997-05-11,,3045,
868,2001,3045,5,125,2001-05-05,,3045,
869,2001,3045,5,126,2001-05-06,,3045,
870,2001,3045,5,127,2001-05-07,,3045,
871,2001,3045,5,128,2001-05-08,,3045,
872,2001,3045,5,129,2001-05-09,,3045,
873,2001,3045,5,130,2001-05-10,,3045,
874,2001,3045,5,131,2001-05-11,,3045,
875,2004,3045,5,126,2004-05-05,,3045,
876,2004,3045,5,127,2004-05-06,,3045,
877,2004,3045,5,128,2004-05-07,,3045,
878,2004,3045,5,129,2004-05-08,,3045,
879,2004,3045,5,130,2004-05-09,,3045,
880,2004,3045,5,131,2004-05-10,,3045,
881,2004,3045,5,132,2004-05-11,,3045,
882,2012,3045,5,126,2012-05-05,,3045,
883,2012,3045,5,127,2012-05-06,,3045,
884,2012,3045,5,128,2012-05-07,,3045,
885,2012,3045,5,129,2012-05-08,,3045,
886,2012,3045,5,130,2012-05-09,,3045,
887,2012,3045,5,131,2012-05-10,,3045,
888,2012,3045,5,132,2012-05-11,,3045,
889,1993,3050,5,125,1993-05-05,,3050,
890,1993,3050,5,126,1993-05-06,,3050,
891,1993,3050,5,127,1993-05-07,,3050,
892,1993,3050,5,128,1993-05-08,,3050,
893,1993,3050,5,129,1993-05-09,,3050,
894,1993,3050,5,130,1993-05-10,,3050,
895,1993,3050,5,131,1993-05-11,,3050,
896,1997,3050,5,125,1997-05-05,,3050,
897,1997,3050,5,126,1997-05-06,,3050,
898,1997,3050,5,127,1997-05-07,,3050,
899,1997,3050,5,128,1997-05-08,,3050,
900,1997,3050,5,129,1997-05-09,,3050,
901,1997,3050,5,130,1997-05-10,,3050,
902,1997,3050,5,131,1997-05-11,,3050,
903,2001,3050,5,125,2001-05-05,,3050,
904,2001,3050,5,126,2001-05-06,,3050,
905,2001,3050,5,127,2001-05-07,,3050,
906,2001,3050,5,128,2001-05-08,,3050,
907,2001,3050,5,129,2001-05-09,,3050,
908,2001,3050,5,130,2001-05-10,,3050,
909,2001,3050,5,131,2001-05-11,,3050,
910,2004,3050,5,126,2004-05-05,,3050,
911,2004,3050,5,127,2004-05-06,,3050,
912,2004,3050,5,128,2004-05-07,,3050,
913,2004,3050,5,129,2004-05-08,,3050,
914,2004,3050,5,130,2004-05-09,,3050,
915,2004,3050,5,131,2004-05-10,,3050,
916,2004,3050,5,132,2004-05-11,,3050,
917,2012,3050,5,126,2012-05-05,,3050,
918,2012,3050,5,127,2012-05-06,,3050,
919,2012,3050,5,128,2012-05-07,,3050,
920,2012,3050,5,129,2012-05-08,,3050,
921,2012,3050,5,130,2012-05-09,,3050,
922,2012,3050,5,131,2012-05-10,,3050,
923,2012,3050,5,132,2012-05-11,,3050,
924,1993,3230,5,125,1993-05-05,,3230,
925,1993,3230,5,126,1993-05-06,,3230,
926,1993,3230,5,127,1993-05-07,,3230,
927,1993,3230,5,128,1993-05-08,,3230,
928,1993,3230,5,129,1993-05-09,,3230,
929,1993,3230,5,130,1993-05-10,,3230,
930,1993,3230,5,131,1993-05-11,,3230,
931,1997,3230,5,125,1997-05-05,,3230,
932,1997,3230,5,126,1997-05-06,,3230,
933,1997,3230,5,127,1997-05-07,,3230,
934,1997,3230,5,128,1997-05-08,,3230,
935,1997,3230,5,129,1997-05-09,,3230,
936,1997,3230,5,130,1997-05-10,,3230,
937,1997,3230,5,131,1997-05-11,,3230,
938,2001,3230,5,125,2001-05-05,,3230,
939,2001,3230,5,126,2001-05-06,,3230,
940,2001,3230,5,127,2001-05-07,,3230,
941,2001,3230,5,128,2001-05-08,,3230,
942,2001,3230,5,129,2001-05-09,,3230,
943,2001,3230,5,130,2001-05-10,,3230,
944,2001,3230,5,131,2001-05-11,,3230,
945,2004,3230,5,126,2004-05-05,,3230,
946,2004,3230,5,127,2004-05-06,,3230,
947,2004,3230,5,128,2004-05-07,,3230,
948,2004,3230,5,129,2004-05-08,,3230,
949,2004,3230,5,130,2004-05-09,,3230,
950,2004,3230,5,131,2004-05-10,,3230,
951,2004,3230,5,132,2004-05-11,,3230,
952,2012,3230,5,126,2012-05-05,,3230,
953,2012,3230,5,127,2012-05-06,,3230,
954,2012,3230,5,128,2012-05-07,,3230,
955,2012,3230,5,129,2012-05-08,,3230,
956,2012,3230,5,130,2012-05-09,,3230,
957,2012,3230,5,131,2012-05-10,,3230,
958,2012,3230,5,132,2012-05-11,,3230,
959,1989,3019,5,132,1989-05-12,,3019,
960,1989,3019,5,133,1989-05-13,,3019,
961,1989,3019,5,134,1989-05-14,,3019,
962,1989,3019,5,135,1989-05-15,,3019,
963,1989,3019,5,136,1989-05-16,,3019,
964,1989,3019,5,137,1989-05-17,,3019,
965,1989,3019,5,138,1989-05-18,,3019,
966,2003,3019,5,132,2003-05-12,,3019,
967,2003,3019,5,133,2003-05-13,,3019,
968,2003,3019,5,134,2003-05-14,,3019,
969,2003,3019,5,135,2003-05-15,,3019,
970,2003,3019,5,136,2003-05-16,,3019,
971,2003,3019,5,137,2003-05-17,,3019,
972,2003,3019,5,138,2003-05-18,,3019,
973,2005,3019,5,132,2005-05-12,,3019,
974,2005,3019,5,133,2005-05-13,,3019,
975,2005,3019,5,134,2005-05-14,,3019,
976,2005,3019,5,135,2005-05-15,,3019,
977,2005,3019,5,136,2005-05-16,,3019,
978,2005,3019,5,137,2005-05-17,,3019,
979,2005,3019,5,138,2005-05-18,,3019,
980,2013,3019,5,132,2013-05-12,,3019,
981,2013,3019,5,133,2013-05-13,,3019,
982,2013,3019,5,134,2013-05-14,,3019,
983,2013,3019,5,135,2013-05-15,,3019,
984,2013,3019,5,136,2013-05-16,,3019,
985,2013,3019,5,137,2013-05-17,,3019,
986,2013,3019,5,138,2013-05-18,,3019,
987,1989,3027,5,132,1989-05-12,,3027,
988,1989,3027,5,133,1989-05-13,,3027,
989,1989,3027,5,134,1989-05-14,,3027,
990,1989,3027,5,135,1989-05-15,,3027,
991,1989,3027,5,136,1989-05-16,,3027,
992,1989,3027,5,137,1989-05-17,,3027,
993,1989,3027,5,138,1989-05-18,,3027,
994,2003,3027,5,132,2003-05-12,,3027,
995,2003,3027,5,133,2003-05-13,,3027,
996,2003,3027,5,134,2003-05-14,,3027,
997,2003,3027,5,135,2003-05-15,,3027,
998,2003,3027,5,136,2003-05-16,,3027,
999,2003,3027,5,137,2003-05-17,,3027,
1000,2003,3027,5,138,2003-05-18,,3027,
1001,2005,3027,5,132,2005-05-12,,3027,
1002,2005,3027,5,133,2005-05-13,,3027,
1003,2005,3027,5,134,2005-05-14,,3027,
1004,2005,3027,5,135,2005-05-15,,3027,
1005,2005,3027,5,136,2005-05-16,,3027,
1006,2005,3027,5,137,2005-05-17,,3027,
1007,2005,3027,5,138,2005-05-18,,3027,
1008,2013,3027,5,132,2013-05-12,,3027,
1009,2013,3027,5,133,2013-05-13,,3027,
1010,2013,3027,5,134,2013-05-14,,3027,
1011,2013,3027,5,135,2013-05-15,,3027,
1012,2013,3027,5,136,2013-05-16,,3027,
1013,2013,3027,5,137,2013-05-17,,3027,
1014,2013,3027,5,138,2013-05-18,,3027,
1015,1989,3028,5,132,1989-05-12,,3028,
1016,1989,3028,5,133,1989-05-13,,3028,
1017,1989,3028,5,134,1989-05-14,,3028,
1018,1989,3028,5,135,1989-05-15,,3028,
1019,1989,3028,5,136,1989-05-16,,3028,
1020,1989,3028,5,137,1989-05-17,,3028,
1021,1989,3028,5,138,1989-05-18,,3028,
1022,2003,3028,5,132,2003-05-12,,3028,
1023,2003,3028,5,133,2003-05-13,,3028,
1024,2003,3028,5,134,2003-05-14,,3028,
1025,2003,3028,5,135,2003-05-15,,3028,
1026,2003,3028,5,136,2003-05-16,,3028,
1027,2003,3028,5,137,2003-05-17,,3028,
1028,2003,3028,5,138,2003-05-18,,3028,
1029,2005,3028,5,132,2005-05-12,,3028,
1030,2005,3028,5,133,2005-05-13,,3028,
1031,2005,3028,5,134,2005-05-14,,3028,
1032,2005,3028,5,135,2005-05-15,,3028,
1033,2005,3028,5,136,2005-05-16,,3028,
1034,2005,3028,5,137,2005-05-17,,3028,
1035,2005,3028,5,138,2005-05-18,,3028,
1036,2013,3028,5,132,2013-05-12,,3028,
1037,2013,3028,5,133,2013-05-13,,3028,
1038,2013,3028,5,134,2013-05-14,,3028,
1039,2013,3028,5,135,2013-05-15,,3028,
1040,2013,3028,5,136,2013-05-16,,3028,
1041,2013,3028,5,137,2013-05-17,,3028,
